종목코드,기업명,보고서명,접수번호,접수일자,문서번호,보고서링크,재무제표링크
_060310,3S,반기보고서 (2023.09),20231113000150,20231113,9491460,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231113000150&dcm_no=9491460,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231113000150&dcm_no=9491460
_095570,AJ네트웍스,분기보고서 (2023.09),20231114001228,20231114,9495910,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114001228&dcm_no=9495910,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114001228&dcm_no=9495910
_006840,AK홀딩스,분기보고서 (2023.09),20231114002353,20231114,9498834,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002353&dcm_no=9498834,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002353&dcm_no=9498834
_054620,APS,분기보고서 (2023.09),20231114002867,20231114,9500250,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002867&dcm_no=9500250,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002867&dcm_no=9500250
_265520,AP시스템,분기보고서 (2023.09),20231114001630,20231114,9496933,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114001630&dcm_no=9496933,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114001630&dcm_no=9496933
_211270,AP위성,분기보고서 (2023.09),20231108000231,20231108,9485811,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231108000231&dcm_no=9485811,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231108000231&dcm_no=9485811
_027410,BGF,분기보고서 (2023.09),20231114002155,20231114,9498277,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002155&dcm_no=9498277,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002155&dcm_no=9498277
_282330,BGF리테일,분기보고서 (2023.09),20231114002242,20231114,9498524,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002242&dcm_no=9498524,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002242&dcm_no=9498524
_126600,BGF에코머티리얼즈,분기보고서 (2023.09),20231114002086,20231114,9498099,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002086&dcm_no=9498099,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002086&dcm_no=9498099
_138930,BNK금융지주,분기보고서 (2023.09),20231114002098,20231114,9498128,http://dart.fss.or.kr/pdf/download/pdf.do?rcp_no=20231114002098&dcm_no=9498128,http://dart.fss.or.kr/pdf/download/excel.do?rcp_no=20231114002098&dcm_no=9498128
